Datetime,Water Level (m)
2024-06-04 00:00:00,0.86752284
2024-06-04 01:00:00,0.99478847
2024-06-04 02:00:00,0.9474087
2024-06-04 03:00:00,0.72745556
2024-06-04 04:00:00,0.39512733
2024-06-04 05:00:00,0.037203077
2024-06-04 06:00:00,-0.25122836
2024-06-04 07:00:00,-0.38930076
2024-06-04 08:00:00,-0.35471153
2024-06-04 09:00:00,-0.16040206
2024-06-04 10:00:00,0.13596374
2024-06-04 11:00:00,0.44304183
2024-06-04 12:00:00,0.6686291
2024-06-04 13:00:00,0.7649399
2024-06-04 14:00:00,0.70561093
2024-06-04 15:00:00,0.48491818
2024-06-04 16:00:00,0.15955481
2024-06-04 17:00:00,-0.20698583
2024-06-04 18:00:00,-0.50839025
2024-06-04 19:00:00,-0.6731706
2024-06-04 20:00:00,-0.64699054
2024-06-04 21:00:00,-0.41833866
2024-06-04 22:00:00,-0.050679006
2024-06-04 23:00:00,0.37398264
2024-06-05 00:00:00,0.7534381
2024-06-05 01:00:00,1.0123813
2024-06-05 02:00:00,1.0902879
2024-06-05 03:00:00,0.9707313
2024-06-05 04:00:00,0.7050344
2024-06-05 05:00:00,0.3320539
2024-06-05 06:00:00,-0.044703327
2024-06-05 07:00:00,-0.32461306
2024-06-05 08:00:00,-0.44989103
2024-06-05 09:00:00,-0.39139012
2024-06-05 10:00:00,-0.1577552
2024-06-05 11:00:00,0.15891232
2024-06-05 12:00:00,0.48578936
2024-06-05 13:00:00,0.6962346
2024-06-05 14:00:00,0.7777986
2024-06-05 15:00:00,0.67354566
2024-06-05 16:00:00,0.4061802
2024-06-05 17:00:00,0.049414255
2024-06-05 18:00:00,-0.29907185
2024-06-05 19:00:00,-0.57194364
2024-06-05 20:00:00,-0.6845339
2024-06-05 21:00:00,-0.5926532
2024-06-05 22:00:00,-0.31388432
2024-06-05 23:00:00,0.10170297
2024-06-06 00:00:00,0.539328
2024-06-06 01:00:00,0.9031342
2024-06-06 02:00:00,1.1167188
2024-06-06 03:00:00,1.133594
2024-06-06 04:00:00,0.9527147
2024-06-06 05:00:00,0.6321203
2024-06-06 06:00:00,0.23511373
2024-06-06 07:00:00,-0.12879983
2024-06-06 08:00:00,-0.387081
2024-06-06 09:00:00,-0.47639692
2024-06-06 10:00:00,-0.3726435
2024-06-06 11:00:00,-0.12144109
2024-06-06 12:00:00,0.1900866
2024-06-06 13:00:00,0.50608206
2024-06-06 14:00:00,0.6855394
2024-06-06 15:00:00,0.72196823
2024-06-06 16:00:00,0.590063
2024-06-06 17:00:00,0.29097039
2024-06-06 18:00:00,-0.08284066
2024-06-06 19:00:00,-0.4167368
2024-06-06 20:00:00,-0.6375829
2024-06-06 21:00:00,-0.6752424
2024-06-06 22:00:00,-0.5454414
2024-06-06 23:00:00,-0.23470888
2024-06-07 00:00:00,0.18343794
2024-06-07 01:00:00,0.5979572
2024-06-07 02:00:00,0.93339705
2024-06-07 03:00:00,1.1023567
2024-06-07 04:00:00,1.0739568
2024-06-07 05:00:00,0.8504842
2024-06-07 06:00:00,0.49883693
2024-06-07 07:00:00,0.099068895
2024-06-07 08:00:00,-0.24252135
2024-06-07 09:00:00,-0.4505417
2024-06-07 10:00:00,-0.48019353
2024-06-07 11:00:00,-0.33441618
2024-06-07 12:00:00,-0.07181194
2024-06-07 13:00:00,0.25003484
2024-06-07 14:00:00,0.5301826
2024-06-07 15:00:00,0.6758494
2024-06-07 16:00:00,0.65343887
2024-06-07 17:00:00,0.4771275
2024-06-07 18:00:00,0.18942523
2024-06-07 19:00:00,-0.16162924
2024-06-07 20:00:00,-0.4632716
2024-06-07 21:00:00,-0.6304534
2024-06-07 22:00:00,-0.6158056
2024-06-07 23:00:00,-0.42787415
2024-06-08 00:00:00,-0.09919721
2024-06-08 01:00:00,0.31129238
2024-06-08 02:00:00,0.71039987
2024-06-08 03:00:00,0.98663455
2024-06-08 04:00:00,1.0936836
2024-06-08 05:00:00,0.99053967
2024-06-08 06:00:00,0.7338994
2024-06-08 07:00:00,0.37633517
2024-06-08 08:00:00,0.004454765
2024-06-08 09:00:00,-0.29689392
2024-06-08 10:00:00,-0.4477189
2024-06-08 11:00:00,-0.4348942
2024-06-08 12:00:00,-0.25515434
2024-06-08 13:00:00,0.023077065
2024-06-08 14:00:00,0.3203822
2024-06-08 15:00:00,0.55198574
2024-06-08 16:00:00,0.65098053
2024-06-08 17:00:00,0.5953309
2024-06-08 18:00:00,0.38945162
2024-06-08 19:00:00,0.095751144
2024-06-08 20:00:00,-0.22445306
2024-06-08 21:00:00,-0.45792872
2024-06-08 22:00:00,-0.5620766
2024-06-08 23:00:00,-0.5094917
2024-06-09 00:00:00,-0.27530923
2024-06-09 01:00:00,0.07699031
2024-06-09 02:00:00,0.46966717
2024-06-09 03:00:00,0.8095723
2024-06-09 04:00:00,1.0073694
2024-06-09 05:00:00,1.0436432
2024-06-09 06:00:00,0.89893526
2024-06-09 07:00:00,0.6214581
2024-06-09 08:00:00,0.26906565
2024-06-09 09:00:00,-0.07283678
2024-06-09 10:00:00,-0.31753957
2024-06-09 11:00:00,-0.417473
2024-06-09 12:00:00,-0.34686476
2024-06-09 13:00:00,-0.14389345
2024-06-09 14:00:00,0.1303279
2024-06-09 15:00:00,0.4014844
2024-06-09 16:00:00,0.574143
2024-06-09 17:00:00,0.6154368
2024-06-09 18:00:00,0.5201002
2024-06-09 19:00:00,0.30757126
2024-06-09 20:00:00,0.028140448
2024-06-09 21:00:00,-0.22683005
2024-06-09 22:00:00,-0.41161323
2024-06-09 23:00:00,-0.46541387
2024-06-10 00:00:00,-0.35415947
